event_id,event_date,latitude,longitude,admin_division_name,rainfall24h,gpm_lat,gpm_lon,target,sample_type
NEG_20110719_0143,2011-07-19,23.850000000000012,91.44999694824219,NER_BACKGROUND,19.170000076293945,23.850000000000012,91.44999694824219,0,BACKGROUND_NO_RECORDED_LANDSLIDE
4403,2012-06-10 00:00:00,24.8142,93.5444,Manipur,20.634998321533203,24.85000000000001,93.5500030517578,1,RECORDED_LANDSLIDE
1775,2010-04-21 00:00:00,27.8965,96.1779,Arunāchal Pradesh,77.68499755859375,27.85000000000001,96.1500015258789,1,RECORDED_LANDSLIDE
NEG_20150802_0291,2015-08-02,21.450000000000006,90.3499984741211,NER_BACKGROUND,13.34000015258789,21.450000000000006,90.3499984741211,0,BACKGROUND_NO_RECORDED_LANDSLIDE
NEG_20150524_0257,2015-05-24,23.750000000000004,92.94999694824219,NER_BACKGROUND,21.714998245239258,23.750000000000004,92.94999694824219,0,BACKGROUND_NO_RECORDED_LANDSLIDE
NEG_20100729_0079,2010-07-29,27.55,90.05000305175781,NER_BACKGROUND,4.21999979019165,27.55,90.05000305175781,0,BACKGROUND_NO_RECORDED_LANDSLIDE
NEG_20131006_0226,2013-10-06,23.65000000000001,96.75,NER_BACKGROUND,0.02499999850988388,23.65000000000001,96.75,0,BACKGROUND_NO_RECORDED_LANDSLIDE
NEG_20150923_0319,2015-09-23,26.450000000000006,90.1500015258789,NER_BACKGROUND,10.835000991821289,26.450000000000006,90.1500015258789,0,BACKGROUND_NO_RECORDED_LANDSLIDE
NEG_20150801_0286,2015-08-01,28.15000000000001,91.55000305175781,NER_BACKGROUND,7.144999980926514,28.15000000000001,91.55000305175781,0,BACKGROUND_NO_RECORDED_LANDSLIDE
NEG_20100603_0061,2010-06-03,22.250000000000004,90.1500015258789,NER_BACKGROUND,17.25999641418457,22.250000000000004,90.1500015258789,0,BACKGROUND_NO_RECORDED_LANDSLIDE
9142,2016-06-14 00:00:00,26.3185,94.5247,Nagaland,6.754999160766602,26.35000000000001,94.5500030517578,1,RECORDED_LANDSLIDE
NEG_20090826_0043,2009-08-26,24.450000000000006,91.94999694824219,NER_BACKGROUND,24.470001220703125,24.450000000000006,91.94999694824219,0,BACKGROUND_NO_RECORDED_LANDSLIDE
NEG_20090830_0045,2009-08-30,25.750000000000004,93.3499984741211,NER_BACKGROUND,15.799997329711914,25.750000000000004,93.3499984741211,0,BACKGROUND_NO_RECORDED_LANDSLIDE
NEG_20101009_0119,2010-10-09,27.350000000000012,92.6500015258789,NER_BACKGROUND,0.0,27.350000000000012,92.6500015258789,0,BACKGROUND_NO_RECORDED_LANDSLIDE
3662,2011-06-28 00:00:00,25.03561729,94.0144205,Manipur,4.164999961853027,25.05,94.0500030517578,1,RECORDED_LANDSLIDE
7409,2015-08-02 00:00:00,25.72,94.6219,Nagaland,8.475000381469727,25.750000000000004,94.6500015258789,1,RECORDED_LANDSLIDE
3663,2011-06-28 00:00:00,25.6682,94.1099,Nāgāland,6.800000190734863,25.65000000000001,94.1500015258789,1,RECORDED_LANDSLIDE
2205,2010-08-06 00:00:00,23.7365,92.7146,Mizoram,0.6449999213218689,23.750000000000004,92.75,1,RECORDED_LANDSLIDE
2253,2010-08-15 00:00:00,25.31006064,94.48265093,Manipur,21.369997024536133,25.35000000000001,94.4499969482422,1,RECORDED_LANDSLIDE
9338,2016-05-18 00:00:00,24.4638,92.4943,Assam,43.470001220703125,24.450000000000006,92.4499969482422,1,RECORDED_LANDSLIDE
NEG_20100913_0101,2010-09-13,21.850000000000012,92.75,NER_BACKGROUND,18.235000610351562,21.850000000000012,92.75,0,BACKGROUND_NO_RECORDED_LANDSLIDE
NEG_20120610_0165,2012-06-10,21.750000000000004,92.94999694824219,NER_BACKGROUND,2.119999885559082,21.750000000000004,92.94999694824219,0,BACKGROUND_NO_RECORDED_LANDSLIDE
NEG_20100421_0055,2010-04-21,24.450000000000006,96.3499984741211,NER_BACKGROUND,0.09000000357627869,24.450000000000006,96.3499984741211,0,BACKGROUND_NO_RECORDED_LANDSLIDE
4858,2013-05-11 00:00:00,26.1662,91.7138,Assam,23.36999893188477,26.15000000000001,91.75,1,RECORDED_LANDSLIDE
NEG_20100706_0070,2010-07-06,21.950000000000006,89.05000305175781,NER_BACKGROUND,1.8599998950958252,21.950000000000006,89.05000305175781,0,BACKGROUND_NO_RECORDED_LANDSLIDE
7267,2015-07-22 00:00:00,25.3908,94.0926,Manipur,8.40999984741211,25.35000000000001,94.0500030517578,1,RECORDED_LANDSLIDE
2164,2010-07-29 00:00:00,25.3098633,94.48214677,Manipur,22.295000076293945,25.35000000000001,94.4499969482422,1,RECORDED_LANDSLIDE
NEG_20150811_0294,2015-08-11,23.950000000000006,90.1500015258789,NER_BACKGROUND,1.8349997997283936,23.950000000000006,90.1500015258789,0,BACKGROUND_NO_RECORDED_LANDSLIDE
NEG_20150822_0306,2015-08-22,25.750000000000004,96.55000305175781,NER_BACKGROUND,5.439999580383301,25.750000000000004,96.55000305175781,0,BACKGROUND_NO_RECORDED_LANDSLIDE
NEG_20150819_0301,2015-08-19,22.65000000000001,90.05000305175781,NER_BACKGROUND,16.104999542236328,22.65000000000001,90.05000305175781,0,BACKGROUND_NO_RECORDED_LANDSLIDE
8996,2016-07-14 00:00:00,26.1768,91.7702,Assam,10.789999961853027,26.15000000000001,91.75,1,RECORDED_LANDSLIDE
NEG_20120919_0177,2012-09-19,29.15000000000001,92.44999694824219,NER_BACKGROUND,0.35499998927116394,29.15000000000001,92.44999694824219,0,BACKGROUND_NO_RECORDED_LANDSLIDE
3741,2011-07-07 00:00:00,25.4191,94.1079,Nāgāland,0.0,25.450000000000006,94.1500015258789,1,RECORDED_LANDSLIDE
2043,2010-07-06 00:00:00,26.7225,95.0281,Nāgāland,1.4900000095367432,26.750000000000004,95.0500030517578,1,RECORDED_LANDSLIDE
8012,2015-09-06 00:00:00,25.9703,91.8584,Meghalaya,0.3999999761581421,25.950000000000006,91.8499984741211,1,RECORDED_LANDSLIDE
NEG_20150801_0289,2015-08-01,28.350000000000012,94.44999694824219,NER_BACKGROUND,11.305000305175781,28.350000000000012,94.44999694824219,0,BACKGROUND_NO_RECORDED_LANDSLIDE
2576,2010-10-09 00:00:00,25.4788,94.1399,Nāgāland,0.0649999976158142,25.450000000000006,94.1500015258789,1,RECORDED_LANDSLIDE
NEG_20090820_0040,2009-08-20,27.450000000000006,96.55000305175781,NER_BACKGROUND,16.229999542236328,27.450000000000006,96.55000305175781,0,BACKGROUND_NO_RECORDED_LANDSLIDE
NEG_20150616_0261,2015-06-16,23.450000000000006,89.94999694824219,NER_BACKGROUND,20.029998779296875,23.450000000000006,89.94999694824219,0,BACKGROUND_NO_RECORDED_LANDSLIDE
NEG_20110531_0129,2011-05-31,27.850000000000012,96.55000305175781,NER_BACKGROUND,16.494998931884766,27.850000000000012,96.55000305175781,0,BACKGROUND_NO_RECORDED_LANDSLIDE
6285,2014-09-22 00:00:00,26.159,91.8178,Assam,161.239990234375,26.15000000000001,91.8499984741211,1,RECORDED_LANDSLIDE
NEG_20100721_0076,2010-07-21,23.750000000000004,90.44999694824219,NER_BACKGROUND,5.22499942779541,23.750000000000004,90.44999694824219,0,BACKGROUND_NO_RECORDED_LANDSLIDE
NEG_20081029_0038,2008-10-29,28.250000000000004,91.55000305175781,NER_BACKGROUND,5.355000019073486,28.250000000000004,91.55000305175781,0,BACKGROUND_NO_RECORDED_LANDSLIDE
NEG_20150826_0307,2015-08-26,29.850000000000012,89.6500015258789,NER_BACKGROUND,0.9699999690055847,29.850000000000012,89.6500015258789,0,BACKGROUND_NO_RECORDED_LANDSLIDE
2166,2010-07-29 00:00:00,24.9786,93.5027,Assam,19.49999618530273,24.950000000000006,93.5500030517578,1,RECORDED_LANDSLIDE
NEG_20100731_0081,2010-07-31,28.65000000000001,93.6500015258789,NER_BACKGROUND,1.869999885559082,28.65000000000001,93.6500015258789,0,BACKGROUND_NO_RECORDED_LANDSLIDE
5107,2013-07-15 00:00:00,25.6269,94.1139,Nāgāland,3.014999866485596,25.65000000000001,94.1500015258789,1,RECORDED_LANDSLIDE
9168,2016-06-12 00:00:00,27.6438,93.871,Arunachal Pradesh,99.6999969482422,27.65000000000001,93.8499984741211,1,RECORDED_LANDSLIDE
NEG_20140626_0230,2014-06-26,23.850000000000012,92.1500015258789,NER_BACKGROUND,18.485000610351562,23.850000000000012,92.1500015258789,0,BACKGROUND_NO_RECORDED_LANDSLIDE
NEG_20150819_0302,2015-08-19,21.15000000000001,90.94999694824219,NER_BACKGROUND,9.304999351501465,21.15000000000001,90.94999694824219,0,BACKGROUND_NO_RECORDED_LANDSLIDE
