event_id,event_date,latitude,longitude,admin_division_name,rainfall24h,gpm_lat,gpm_lon
78,2007-05-23,27.3383,88.6069,Sikkim,0.0,27.350000000000012,88.6500015258789
126,2007-07-16,27.1499,88.38,Sikkim,45.55499267578125,27.15000000000001,88.3499984741211
130,2007-07-19,26.1699,91.7986,Assam,23.09999656677246,26.15000000000001,91.75
141,2007-07-26,25.38,91.88,Meghālaya,86.05997467041016,25.350000000000012,91.8499984741211
142,2007-07-27,25.5212,90.232,Meghālaya,79.05500030517578,25.55,90.25
147,2007-07-30,22.533,92.899,Mizoram,2.804999828338623,22.55,92.8499984741211
148,2007-07-30,22.479,92.967,Mizoram,3.5199999809265137,22.450000000000006,92.94999694824219
212,2007-08-26,25.5576,91.8506,Meghālaya,17.51500129699707,25.55,91.8499984741211
213,2007-08-26,25.2946,92.8339,Assam,19.30499839782715,25.250000000000004,92.8499984741211
211,2007-08-26,24.9667,93.55,Manipur,16.520000457763672,24.950000000000006,93.55000305175781
215,2007-08-28,25.7428,93.9136,Nāgāland,7.0199995040893555,25.750000000000004,93.94999694824219
220,2007-08-31,25.1333,93.9667,Manipur,2.515000343322754,25.15000000000001,93.94999694824219
247,2007-09-08,25.0604,93.9877,Manipur,35.2349967956543,25.05,93.94999694824219
251,2007-09-09,27.1667,88.35,Sikkim,5.889999866485596,27.15000000000001,88.3499984741211
252,2007-09-09,25.4993,94.1192,Nāgāland,5.614999294281006,25.450000000000006,94.1500015258789
256,2007-09-10,27.3425,88.6236,Sikkim,8.464999198913574,27.350000000000012,88.6500015258789
255,2007-09-10,24.2451,94.0691,Manipur,9.40000057220459,24.250000000000004,94.05000305175781
258,2007-09-11,24.4279,94.0564,Manipur,3.2749996185302734,24.450000000000006,94.05000305175781
259,2007-09-11,25.52,91.27,Meghālaya,0.4650000035762787,25.55,91.25
264,2007-09-13,26.1833,91.8,Assam,1.559999942779541,26.15000000000001,91.8499984741211
269,2007-09-18,27.2872,88.2816,Sikkim,27.045001983642578,27.250000000000004,88.25
285,2007-09-29,24.1293,92.6921,Mizoram,13.450000762939453,24.15000000000001,92.6500015258789
313,2007-10-16,25.7055,94.0132,Nāgāland,22.920001983642578,25.750000000000004,94.05000305175781
319,2007-10-19,25.4379,94.1162,Nāgāland,1.9049997329711914,25.450000000000006,94.1500015258789
322,2007-10-21,24.75,93.4333,Assam,0.03500000014901161,24.750000000000004,93.44999694824219
545,2008-05-20,24.9849,92.8411,Assam,9.045000076293945,24.950000000000006,92.8499984741211
580,2008-06-09,24.6596,93.9784,Manipur,0.8799999952316284,24.65000000000001,93.94999694824219
585,2008-06-14,27.0998,93.6287,Arunāchal Pradesh,73.52999114990234,27.05,93.6500015258789
587,2008-06-15,27.2298,94.0989,Assam,3.0900001525878906,27.250000000000004,94.05000305175781
594,2008-06-19,24.9336,93.8275,Manipur,3.3499999046325684,24.950000000000006,93.8499984741211
692,2008-08-07,25.705,94.04,Nāgāland,8.919999122619629,25.750000000000004,94.05000305175781
714,2008-08-14,27.163,94.0,Assam,21.26500129699707,27.15000000000001,93.94999694824219
731,2008-08-19,26.138,94.25,Nāgāland,3.8650002479553223,26.15000000000001,94.25
755,2008-08-28,27.337,88.609,Sikkim,14.920000076293945,27.350000000000012,88.6500015258789
760,2008-08-29,25.67,94.1066,Nāgāland,9.829998970031738,25.65000000000001,94.1500015258789
870,2008-10-29,27.4,92.35,Arunāchal Pradesh,0.6749999523162842,27.350000000000012,92.3499984741211
869,2008-10-29,27.2333,94.1167,Assam,0.0,27.250000000000004,94.1500015258789
868,2008-10-29,26.3333,91.25,Assam,0.0,26.350000000000012,91.25
1084,2009-08-12,27.7,92.8,Arunāchal Pradesh,122.2800064086914,27.65000000000001,92.8499984741211
1109,2009-08-20,25.5215,93.1645,Assam,14.96999740600586,25.55,93.1500015258789
