Title:,"Time Series, Area-Averaged of Multi-satellite precipitation estimate with gauge calibration - Final Run (recommended for (half-hourly)"
User Start Date:,2020-01-01T00:00:00Z
User End Date:,2020-12-31T23:59:59Z
User Bounding Box:,"88,21,98,30.5"
Data Bounding Box:,"88.05,21.05,97.95,30.45"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/?utm_source=chatgpt.com#service=ArAvTs&starttime=2020-01-01T00:00:00Z&endtime=2020-12-31T23:59:59Z&bbox=88,21,98,30.5&data=GPM_3IMERGHH_07_precipitation&portal=GIOVANNI&format=json"
Fill Value (mean_GPM_3IMERGHH_07_precipitation):, -9999.9

time, mean_GPM_3IMERGHH_07_precipitation
2020-01-01 00:00:00,0.00322208926
2020-01-01 00:30:00,0.00491805328
2020-01-01 01:00:00,0.00722280378
2020-01-01 01:30:00,0.0258721001
2020-01-01 02:00:00,0.0207941085
2020-01-01 02:30:00,0.015730815
2020-01-01 03:00:00,0.0165901147
2020-01-01 03:30:00,0.0205996856
2020-01-01 04:00:00,0.0343761258
2020-01-01 04:30:00,0.034321852
2020-01-01 05:00:00,0.0400637761
2020-01-01 05:30:00,0.0403012931
2020-01-01 06:00:00,0.0289054923
2020-01-01 06:30:00,0.0829599425
2020-01-01 07:00:00,0.108144276
2020-01-01 07:30:00,0.14472647
2020-01-01 08:00:00,0.147805884
2020-01-01 08:30:00,0.151484817
2020-01-01 09:00:00,0.152061448
2020-01-01 09:30:00,0.147531912
2020-01-01 10:00:00,0.149468347
2020-01-01 10:30:00,0.150457412
2020-01-01 11:00:00,0.141795814
2020-01-01 11:30:00,0.133885503
2020-01-01 12:00:00,0.125477418
2020-01-01 12:30:00,0.122230418
2020-01-01 13:00:00,0.104568385
2020-01-01 13:30:00,0.100625135
2020-01-01 14:00:00,0.0842896998
2020-01-01 14:30:00,0.0862362757
2020-01-01 15:00:00,0.0664348006
2020-01-01 15:30:00,0.0627370477
2020-01-01 16:00:00,0.0706021786
2020-01-01 16:30:00,0.10280437
2020-01-01 17:00:00,0.0958425552
2020-01-01 17:30:00,0.0989022031
2020-01-01 18:00:00,0.119632684
2020-01-01 18:30:00,0.0661165044
2020-01-01 19:00:00,0.0752295628
2020-01-01 19:30:00,0.0806784853
2020-01-01 20:00:00,0.134901226
2020-01-01 20:30:00,0.113496117
2020-01-01 21:00:00,0.132543966
2020-01-01 21:30:00,0.0910960734
2020-01-01 22:00:00,0.0868525803
2020-01-01 22:30:00,0.0914088413
2020-01-01 23:00:00,0.110406786
2020-01-01 23:30:00,0.100137532
2020-01-02 00:00:00,0.0732911006
2020-01-02 00:30:00,0.0680544451
2020-01-02 01:00:00,0.0595612861
2020-01-02 01:30:00,0.0940156579
2020-01-02 02:00:00,0.064480193
2020-01-02 02:30:00,0.0477621183
2020-01-02 03:00:00,0.0317348428
2020-01-02 03:30:00,0.0363672338
2020-01-02 04:00:00,0.0436881185
2020-01-02 04:30:00,0.0766510516
2020-01-02 05:00:00,0.0606202185
2020-01-02 05:30:00,0.0666892529
2020-01-02 06:00:00,0.0357646607
2020-01-02 06:30:00,0.0297181439
2020-01-02 07:00:00,0.0341320932
2020-01-02 07:30:00,0.058231812
2020-01-02 08:00:00,0.0716270506
2020-01-02 08:30:00,0.0889995247
2020-01-02 09:00:00,0.0508269481
