original_event_id,date,original_lat,original_lon,replacement_lat,replacement_lon,soilMoisture,elevation,status
NEG_20150802_0291,2015-08-02,21.450000000000006,90.3499984741211,21.875,90.125,43.45600128173828,5.0,REPLACED
NEG_20150819_0302,2015-08-19,21.15000000000001,90.9499969482422,21.125,92.125,33.97599792480469,30.0,REPLACED
NEG_20110725_0147,2011-07-25,21.85000000000001,90.8499984741211,22.375,90.625,32.90999984741211,7.0,REPLACED
NEG_20090917_0046,2009-09-17,21.450000000000006,89.3499984741211,22.375,88.125,40.42100143432617,5.0,REPLACED
NEG_20160701_0331,2016-07-01,21.250000000000004,91.4499969482422,21.625,92.125,29.288000106811523,34.0,REPLACED
NEG_20161015_0350,2016-10-15,22.05,90.9499969482422,22.625,91.125,33.55099868774414,4.0,REPLACED
NEG_20150707_0265,2015-07-07,21.450000000000006,90.4499969482422,22.625,91.625,38.233001708984375,7.0,REPLACED
NEG_20080619_0030,2008-06-19,21.65000000000001,88.3499984741211,22.625,88.625,41.04199981689453,10.0,REPLACED
NEG_20101008_0114,2010-10-08,21.35000000000001,90.3499984741211,22.875,90.875,39.4119987487793,7.0,REPLACED
NEG_20131006_0225,2013-10-06,21.250000000000004,88.44999694824219,22.875,88.125,37.03499984741211,12.0,REPLACED
NEG_20110322_0125,2011-03-22,21.250000000000004,89.44999694824219,22.875,90.375,26.801000595092773,8.0,REPLACED
NEG_20130811_0210,2013-08-11,21.65000000000001,89.3499984741211,22.875,88.875,42.551998138427734,3.0,REPLACED
NEG_20150901_0313,2015-09-01,21.250000000000004,91.6500015258789,21.125,92.625,40.49700164794922,198.0,REPLACED
