event_id,event_date,latitude,longitude,admin_division_name,rainfall24h,gpm_lat,gpm_lon,target,sample_type,elevation,slope,srtm_tile,soilMoisture
NEG_20110719_0143,2011-07-19,23.85000000000001,91.4499969482422,NER_BACKGROUND,19.170000076293945,23.85000000000001,91.4499969482422,0,BACKGROUND_NO_RECORDED_LANDSLIDE,42.0,5.134986131220104,N23E091,30.86899948120117
4403,2012-06-10,24.8142,93.5444,Manipur,20.634998321533203,24.85000000000001,93.5500030517578,1,RECORDED_LANDSLIDE,524.0,34.77802218832971,N24E093,36.21500015258789
1775,2010-04-21,27.8965,96.1779,Arunāchal Pradesh,77.68499755859375,27.85000000000001,96.1500015258789,1,RECORDED_LANDSLIDE,208.0,9.350473782917254,N27E096,30.11199951171875
NEG_20150802_0291,2015-08-02,21.875,90.125,NER_BACKGROUND,13.34000015258789,21.875,90.125,0,BACKGROUND_NO_RECORDED_LANDSLIDE,5.0,0.0,N21E090,43.45600128173828
NEG_20150524_0257,2015-05-24,23.750000000000004,92.9499969482422,NER_BACKGROUND,21.71499824523925,23.750000000000004,92.9499969482422,0,BACKGROUND_NO_RECORDED_LANDSLIDE,878.0,29.63943629033122,N23E092,36.40399932861328
NEG_20100729_0079,2010-07-29,27.55,90.05000305175781,NER_BACKGROUND,4.21999979019165,27.55,90.05000305175781,0,BACKGROUND_NO_RECORDED_LANDSLIDE,2355.0,35.2101656085033,N27E090,39.58300018310547
NEG_20131006_0226,2013-10-06,23.65000000000001,96.75,NER_BACKGROUND,0.0249999985098838,23.65000000000001,96.75,0,BACKGROUND_NO_RECORDED_LANDSLIDE,229.0,2.7410634035342527,N23E096,32.4119987487793
NEG_20150923_0319,2015-09-23,26.450000000000006,90.1500015258789,NER_BACKGROUND,10.835000991821287,26.450000000000006,90.1500015258789,0,BACKGROUND_NO_RECORDED_LANDSLIDE,48.0,1.0346531706931774,N26E090,34.34400177001953
NEG_20150801_0286,2015-08-01,28.15000000000001,91.5500030517578,NER_BACKGROUND,7.144999980926514,28.15000000000001,91.5500030517578,0,BACKGROUND_NO_RECORDED_LANDSLIDE,5694.0,19.35114220716917,N28E091,26.593000411987305
NEG_20100603_0061,2010-06-03,22.250000000000004,90.1500015258789,NER_BACKGROUND,17.25999641418457,22.250000000000004,90.1500015258789,0,BACKGROUND_NO_RECORDED_LANDSLIDE,6.0,1.3636616268613924,N22E090,29.46699905395508
9142,2016-06-14,26.3185,94.5247,Nagaland,6.754999160766602,26.35000000000001,94.5500030517578,1,RECORDED_LANDSLIDE,1167.0,1.387753790258008,N26E094,38.141998291015625
NEG_20090826_0043,2009-08-26,24.450000000000006,91.9499969482422,NER_BACKGROUND,24.470001220703125,24.450000000000006,91.9499969482422,0,BACKGROUND_NO_RECORDED_LANDSLIDE,26.0,6.31627898109129,N24E091,40.150001525878906
NEG_20090830_0045,2009-08-30,25.750000000000004,93.3499984741211,NER_BACKGROUND,15.799997329711914,25.750000000000004,93.3499984741211,0,BACKGROUND_NO_RECORDED_LANDSLIDE,237.0,5.211314549796946,N25E093,33.94599914550781
NEG_20101009_0119,2010-10-09,27.35000000000001,92.6500015258789,NER_BACKGROUND,0.0,27.35000000000001,92.6500015258789,0,BACKGROUND_NO_RECORDED_LANDSLIDE,2195.0,33.991253051718154,N27E092,33.529998779296875
3662,2011-06-28,25.03561729,94.0144205,Manipur,4.164999961853027,25.05,94.0500030517578,1,RECORDED_LANDSLIDE,866.0,27.282090548675143,N25E094,39.76900100708008
