event_id,event_date,latitude,longitude,admin_division_name,rainfall24h,gpm_lat,gpm_lon,target,sample_type,elevation,slope,srtm_tile,soilMoisture
4403,2012-06-10,24.8142,93.5444,Manipur,20.634998321533203,24.85000000000001,93.5500030517578,1,RECORDED_LANDSLIDE,524.0,34.77802218832971,N24E093,36.21500015258789
1775,2010-04-21,27.8965,96.1779,Arunāchal Pradesh,77.68499755859375,27.85000000000001,96.1500015258789,1,RECORDED_LANDSLIDE,208.0,9.350473782917254,N27E096,30.11199951171875
NEG_20150802_0291,2015-08-02,21.875,90.125,NER_BACKGROUND,13.34000015258789,21.875,90.125,0,BACKGROUND_NO_RECORDED_LANDSLIDE,5.0,0.0,N21E090,43.45600128173828
NEG_20100729_0079,2010-07-29,27.55,90.05000305175781,NER_BACKGROUND,4.21999979019165,27.55,90.05000305175781,0,BACKGROUND_NO_RECORDED_LANDSLIDE,2355.0,35.2101656085033,N27E090,39.58300018310547
NEG_20131006_0226,2013-10-06,23.65000000000001,96.75,NER_BACKGROUND,0.0249999985098838,23.65000000000001,96.75,0,BACKGROUND_NO_RECORDED_LANDSLIDE,229.0,2.7410634035342527,N23E096,32.4119987487793
NEG_20100603_0061,2010-06-03,22.250000000000004,90.1500015258789,NER_BACKGROUND,17.25999641418457,22.250000000000004,90.1500015258789,0,BACKGROUND_NO_RECORDED_LANDSLIDE,6.0,1.3636616268613924,N22E090,29.46699905395508
9142,2016-06-14,26.3185,94.5247,Nagaland,6.754999160766602,26.35000000000001,94.5500030517578,1,RECORDED_LANDSLIDE,1167.0,1.387753790258008,N26E094,38.141998291015625
NEG_20090826_0043,2009-08-26,24.450000000000006,91.9499969482422,NER_BACKGROUND,24.470001220703125,24.450000000000006,91.9499969482422,0,BACKGROUND_NO_RECORDED_LANDSLIDE,26.0,6.31627898109129,N24E091,40.150001525878906
NEG_20101009_0119,2010-10-09,27.35000000000001,92.6500015258789,NER_BACKGROUND,0.0,27.35000000000001,92.6500015258789,0,BACKGROUND_NO_RECORDED_LANDSLIDE,2195.0,33.991253051718154,N27E092,33.529998779296875
9338,2016-05-18,24.4638,92.4943,Assam,43.470001220703125,24.450000000000006,92.4499969482422,1,RECORDED_LANDSLIDE,97.0,12.933283004058028,N24E092,39.53300094604492
NEG_20100421_0055,2010-04-21,24.450000000000006,96.3499984741211,NER_BACKGROUND,0.0900000035762786,24.450000000000006,96.3499984741211,0,BACKGROUND_NO_RECORDED_LANDSLIDE,537.0,17.078131676396396,N24E096,33.47200012207031
4858,2013-05-11,26.1662,91.7138,Assam,23.36999893188477,26.15000000000001,91.75,1,RECORDED_LANDSLIDE,143.0,21.63720584577714,N26E091,34.88999938964844
